,Minimum Risk Adjusted Values,Max Risk Adjusted Values
Returns,0.26653404618788623,0.41078715584051295
Volatility,0.22644283530300385,0.2905571049557919
Sharpe Ratio,1.1770478223841183,1.4137914676118968
NVDA Weight,0.2272243751622376,0.077772330932535
META Weight,0.010753262485103447,0.03975938142248129
COKE Weight,0.21038014581039283,0.2807955318393701
MSFT Weight,0.24347568601022457,0.00036968313745328757
AAPL Weight,0.0014364863930609465,0.01762462159979582
AMD Weight,0.30448505895164546,0.19508517796534083
GOOG Weight,0.002244985187335197,0.38859327310302366
